carpeta,metodo,exactitud_global,ok_numero,ok_cufe,ok_fecha,ok_nit_prov,ok_nombre_prov,ok_nit_cli,ok_total,ok_subtotal,ok_num_items,ok_num_impuestos,tiempo_seg,tokens_entrada,tokens_salida,error,procesado_en
08000302720000002837,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:12:48.648626Z
08000302720000002837,pdf_markdown,0.9000,1,1,1,1,0,1,1,1,1,1,1.690,1384,498,,2026-06-01T21:12:51.005134Z
1184010e-224f-4285-b795-c791b649a7ec,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:12:51.006239Z
1184010e-224f-4285-b795-c791b649a7ec,pdf_markdown,0.7000,0,1,1,1,0,1,0,1,1,1,1.524,1386,479,,2026-06-01T21:12:55.453717Z
6069359478 (1),xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:12:55.454816Z
6069359478 (1),pdf_markdown,0.9000,1,1,1,1,1,1,1,0,1,1,2.106,3222,582,,2026-06-01T21:15:00.914449Z
6069359478 (2),xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:15:00.915803Z
6069359478 (2),pdf_markdown,0.8000,1,1,1,1,1,1,1,0,0,1,2.094,3243,662,,2026-06-01T21:16:57.015728Z
860007322_TV4310060824,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:16:57.016800Z
860007322_TV4310060824,pdf_markdown,0.7000,0,1,1,1,1,1,1,0,1,0,2.172,2057,481,,2026-06-01T21:17:01.473508Z
901565571_MT100641,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:17:01.474377Z
901565571_MT100641,pdf_markdown,0.8000,1,1,1,1,1,1,0,0,1,1,14.988,1289,503,,2026-06-01T21:17:18.957836Z
ad08002296630062500012C53,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:17:18.958899Z
ad08002296630062500012C53,pdf_markdown,0.7000,0,1,1,1,1,0,1,1,1,0,16.415,1767,496,,2026-06-01T21:17:37.700394Z
ad08002296630062500029063,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:17:37.701391Z
ad08002296630062500029063,pdf_markdown,0.7000,0,1,1,1,1,0,1,1,1,0,24.025,1760,488,,2026-06-01T21:18:04.065790Z
ad083003794600626001901CE,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:18:04.066850Z
ad083003794600626001901CE,pdf_markdown,0.7000,0,1,1,0,0,1,1,1,1,1,14.385,1317,493,,2026-06-01T21:18:21.169424Z
ad086000218002726883020260320151134309,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:18:21.170469Z
ad086000218002726883020260320151134309,pdf_markdown,0.7000,1,1,1,0,0,0,1,1,1,1,15.066,1399,551,,2026-06-01T21:18:38.695471Z
