carpeta,metodo,exactitud_global,ok_numero,ok_cufe,ok_fecha,ok_nit_prov,ok_nombre_prov,ok_nit_cli,ok_total,ok_subtotal,ok_num_items,ok_num_impuestos,tiempo_seg,tokens_entrada,tokens_salida,error,procesado_en
08000302720000002837,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:07:43.604314Z
08000302720000002837,pdf_markdown,0.9000,1,1,1,1,0,1,1,1,1,1,3.805,1384,498,,2026-06-01T21:07:48.117617Z
1184010e-224f-4285-b795-c791b649a7ec,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:07:48.119019Z
1184010e-224f-4285-b795-c791b649a7ec,pdf_markdown,0.7000,0,1,1,1,0,1,0,1,1,1,1.460,1386,479,,2026-06-01T21:07:52.496755Z
6069359478 (1),xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T21:07:52.498694Z
6069359478 (1),pdf_markdown,0.9000,1,1,1,1,1,1,1,0,1,1,1.941,3222,582,,2026-06-01T21:07:57.075397Z
6069359478 (2),xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T21:07:57.076460Z
6069359478 (2),pdf_markdown,0.9000,1,1,1,1,1,1,1,0,1,1,1.903,3243,578,,2026-06-01T21:08:01.601025Z
860007322_TV4310060824,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T21:08:01.602809Z
860007322_TV4310060824,pdf_markdown,0.8000,0,1,1,1,1,1,1,1,1,0,3.633,2057,562,,2026-06-01T21:08:07.604918Z
901565571_MT100641,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T21:08:07.606670Z
901565571_MT100641,pdf_markdown,1.0000,1,1,1,1,1,1,1,1,1,1,1.868,1289,525,,2026-06-01T21:08:11.975754Z
ad08002296630062500012C53,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T21:08:11.977468Z
ad08002296630062500012C53,pdf_markdown,0.8000,0,1,1,1,1,1,1,1,1,0,2.381,1767,609,,2026-06-01T21:08:16.693061Z
ad08002296630062500029063,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T21:08:16.694810Z
ad08002296630062500029063,pdf_markdown,0.8000,0,1,1,1,1,1,1,1,1,0,10.381,1760,601,,2026-06-01T21:08:29.424590Z
