carpeta,metodo,exactitud_global,ok_numero,ok_cufe,ok_fecha,ok_nit_prov,ok_nombre_prov,ok_nit_cli,ok_total,ok_subtotal,ok_num_items,ok_num_impuestos,tiempo_seg,tokens_entrada,tokens_salida,error,procesado_en
08000302720000002837,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-02T02:37:27.572183Z
08000302720000002837,pdf_markdown,0.7000,1,1,1,0,0,0,1,1,1,1,1.126,1384,492,,2026-06-02T02:37:29.655742Z
ad08002296630062500012C53,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-02T02:37:29.657311Z
ad08002296630062500012C53,pdf_markdown,0.7000,0,1,1,1,1,0,1,1,1,0,1.899,1767,496,,2026-06-02T02:37:33.715746Z
ad086000218002726883020260320151134309,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-02T02:37:33.716902Z
ad086000218002726883020260320151134309,pdf_markdown,0.7000,1,1,1,0,0,0,1,1,1,1,1.672,1399,551,,2026-06-02T02:37:37.742414Z
z09007580520082500000007 (1),xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-02T02:37:37.743949Z
z09007580520082500000007 (1),pdf_markdown,0.6000,0,1,1,1,1,0,0,1,1,0,11.415,1538,661,,2026-06-02T02:37:52.028535Z
z09008171730082500003c00,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-02T02:37:52.029742Z
z09008171730082500003c00,pdf_markdown,0.7000,1,1,1,1,1,0,0,1,1,0,15.848,1681,601,,2026-06-02T02:38:10.701156Z
