carpeta,metodo,exactitud_global,ok_numero,ok_cufe,ok_fecha,ok_nit_prov,ok_nombre_prov,ok_nit_cli,ok_total,ok_subtotal,ok_num_items,ok_num_impuestos,tiempo_seg,tokens_entrada,tokens_salida,error,procesado_en
6069359478 (2),xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T20:38:13.512456Z
6069359478 (2),pdf_markdown,0.9000,1,1,1,1,1,1,1,0,1,1,2.211,3243,578,,2026-06-01T20:38:16.382459Z
81d0315c-7ffd-46df-9b24-8a5f39fa1853,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T20:38:16.384171Z
81d0315c-7ffd-46df-9b24-8a5f39fa1853,pdf_markdown,0.7000,0,1,1,1,0,1,0,1,1,1,1.406,1389,484,,2026-06-01T20:38:20.722739Z
901565571_MT103733,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T20:38:20.724377Z
901565571_MT103733,pdf_markdown,1.0000,1,1,1,1,1,1,1,1,1,1,2.147,1323,522,,2026-06-01T20:38:25.168400Z
ad0800229663006250002754A,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T20:38:25.170365Z
ad0800229663006250002754A,pdf_markdown,0.8000,0,1,1,1,1,1,1,1,1,0,2.590,1766,607,,2026-06-01T20:38:30.049862Z
ad086000218002725777420251222103637134,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T20:38:30.051675Z
ad086000218002725777420251222103637134,pdf_markdown,0.7000,1,1,1,0,0,0,1,1,1,1,1.958,1345,581,,2026-06-01T20:38:34.492938Z
STFE861,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T20:38:34.494787Z
STFE861,pdf_markdown,0.8000,1,1,1,1,1,1,0,1,1,0,2.233,2693,568,,2026-06-01T20:38:39.128685Z
z08000982700112400014203,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T20:38:39.130579Z
z08000982700112400014203,pdf_markdown,0.6000,1,1,1,0,0,0,1,1,1,0,1.575,1358,530,,2026-06-01T20:38:43.613206Z
z09007580520082600000003,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T20:38:43.615154Z
z09007580520082600000003,pdf_markdown,0.6000,0,1,0,1,1,1,0,1,1,0,6.064,1542,697,,2026-06-01T20:38:52.563590Z
z09008171730082600000292,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.002,0,0,,2026-06-01T20:38:52.565405Z
z09008171730082600000292,pdf_markdown,0.7000,0,1,1,1,1,1,0,1,1,0,9.148,1691,688,,2026-06-01T20:39:04.550500Z
