carpeta,metodo,exactitud_global,ok_numero,ok_cufe,ok_fecha,ok_nit_prov,ok_nombre_prov,ok_nit_cli,ok_total,ok_subtotal,ok_num_items,ok_num_impuestos,tiempo_seg,tokens_entrada,tokens_salida,error,procesado_en
ad080022966300625000201EA,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T20:24:43.013531Z
ad080022966300625000201EA,pdf_markdown,0.8000,0,1,1,1,1,1,1,1,1,0,2.278,1766,607,,2026-06-01T20:24:46.030201Z
ad086000218002725570520250920180108931,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T20:24:46.031226Z
ad086000218002725570520250920180108931,pdf_markdown,0.7000,1,1,1,0,0,0,1,1,1,1,2.278,1351,578,,2026-06-01T20:24:50.643217Z
ad0890900943006250139F624,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T20:24:50.644274Z
ad0890900943006250139F624,pdf_markdown,0.6000,1,1,1,1,1,0,0,0,1,0,2.408,1598,786,,2026-06-01T20:24:55.955053Z
b63cdff2-933c-4c26-9083-fe5523a19b05,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T20:24:55.955963Z
b63cdff2-933c-4c26-9083-fe5523a19b05,pdf_markdown,0.7000,0,1,1,1,0,1,0,1,1,1,1.365,1377,474,,2026-06-01T20:25:00.242943Z
compressed_20251120171927,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T20:25:00.243927Z
compressed_20251120171927,pdf_markdown,1.0000,1,1,1,1,1,1,1,1,1,1,1.745,3451,524,,2026-06-01T20:25:04.811917Z
factura_1106861420250701,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T20:25:04.812890Z
factura_1106861420250701,pdf_markdown,0.9000,1,1,1,1,0,1,1,1,1,1,1.701,1572,682,,2026-06-01T20:25:09.455906Z
factura_1106952320250801,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T20:25:09.456851Z
factura_1106952320250801,pdf_markdown,0.9000,1,1,1,1,0,1,1,1,1,1,1.601,1579,682,,2026-06-01T20:25:14.003540Z
z08000982700112400013106,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T20:25:14.004414Z
z08000982700112400013106,pdf_markdown,0.5000,0,1,1,0,0,0,1,1,1,0,4.900,1364,494,,2026-06-01T20:25:21.809248Z
z08000982700112400013373,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T20:25:21.810157Z
z08000982700112400013373,pdf_markdown,0.5000,0,1,1,0,0,0,1,1,1,0,5.532,1362,503,,2026-06-01T20:25:30.270219Z
z090005337000425313abde1,xml,1.0000,1,1,1,1,1,1,1,1,1,1,0.001,0,0,,2026-06-01T20:25:30.271299Z
z090005337000425313abde1,pdf_markdown,0.9000,0,1,1,1,1,1,1,1,1,1,4.718,1521,527,,2026-06-01T20:25:37.771755Z
